part_id,color_id,part_name,part_cat_id
41768,15,Wedge 4 x 2 Left,6.0
42022,15,Slope Curved 6 x 1,37.0
43093,1,Technic Axle Pin with Friction Ridges Lengthwise,53.0
4315,15,Hinge Vehicle Roof Holder 1 x 4,18.0
43337,4,Panel  1 x  4 x  1 with Rounded Corners [Thick Wall],23.0
44126,15,Slope Curved 6 x 2,37.0
44661,15,Tail Shuttle - Small,35.0
44675,71,Slope Curved 2 x 2 No Studs - 3 Recessed Side Ports,37.0
44728,15,Bracket 1 x 2 - 2 x 2,9.0
4477,15,Plate 1 x 10,14.0
4617b,0,Propellor  3 Blade  5.5 Diameter with Hole for Technic Pin,35.0
4733,0,Brick Special 1 x 1 Studs on 4 Sides,5.0
48064c02,25,"Electric, Motor with Boat Propeller and Rudder - Complete Assembly 19 x 4 x 4, 2-Blade Propeller",45.0
50304,15,Wedge Plate 8 x 3 Right,49.0
50305,15,Wedge Plate 8 x 3 Left,49.0
54100,0,"Boat Hull Unitary 51 x 12 x 6, Base",35.0
54101,72,"Boat Hull Unitary 51 x 12 x 6, Top",35.0
6087,15,Bracket 5 x 2 x 2 1/3,9.0
6231,4,Panel 1 x 1 x 1 Corner,23.0
6553,72,Axle 1.5 with Perpendicular Axle Connector (Technic Pole Reverser Handle),12.0
973pr1186c01,0,"Torso Police Leather Jacket, Gold Badge, Radio, Belt Print / Black Arms / Dark Bluish Gray Hands",13.0
973pr1188c01,0,Minifig Torso Police Jacket with Pocket and Gold Badge - Blue Tie Print / Black Arms / Yellow Hands,13.0
973pr1197c01,15,"Torso Town Prisoner Number 50380, Dark Bluish Gray Stripes, Buttons, Hairy Chest Print / White Arms / Yellow Hands",13.0
3005pe1,15,Brick 1 x 1 with Simple Eye Black and White Print,2.0
3731,4,Plate 2 x 2 with Towball,9.0
11062,0,Lamp Post 2 x 2 x 7 with 4 Base Flutes,32.0
2423,2,Leaves 4 x 3,28.0
30374,19,Bar 4L (Lightsaber Blade / Wand),32.0
30565,15,Plate Round Corner 4 x 4,21.0
32474,15,Technic Ball Joint,26.0
3626b,47,Minifig Head Plain [Blocked Open Stud],13.0
3626bpr0677,14,"Minifig Head Brown Eyebrows and Freckles, Open Smile, White Pupils Print [Blocked Open Stud]",13.0
3626cpr0499,14,"Minifig Head Male Brown Eyebrows, Black Eyes with White Pupils, Crooked Smile with Black Dimple Print [Hollow Stud]",13.0
41879a,272,Hips and Legs Short [without Hole],13.0
4286,15,Slope 33° 3 x 1,3.0
6005,320,Brick Arch 1 x 3 x 2 Curved Top,37.0
60481,320,Slope 65° 2 x 1 x 2,3.0
61252,19,Plate Special 1 x 1 with Clip Horizontal [Thick Open O Clip],9.0
6134,1,Hinge Brick 2 x 2 Top Plate Thin,18.0
87991,484,Minifig Hair - Tousled with Side Part,13.0
88286,308,Minifig Hair Ponytail Long French Braided,13.0
93555,179,Minifig Ice Skate,27.0
973pr1573c01,15,"Torso Hooded Sweatshirt with Medium Blue Pocket and Drawstring Front, Medium Blue Hood Back Print / White Arms / Yellow Hands",13.0
973pr1772c01,10,Torso Winter Jacket with Silver Zipper Print / Bright Green Arms / Dark Bluish Gray Hands,13.0
x555c01,0,Train Base 6 x 22 with Magnets,39.0
3004pr20,15,Brick 1 x 2 with Santa Claus Face Print,2.0
3298,15,Slope 33° 3 x 2,3.0
2413,15,Wedge Plate 4 x 9,49.0
2420,4,Plate 2 x 2 Corner,14.0
3030,15,Plate 4 x 10,14.0
3039pc4,0,Slope 45° 2 x 2 with 3 Gauges and 3 Knobs Print,3.0
3068bp52,15,Tile 2 x 2 with Red Cross Print,10.0
3139,0,Tyre 14 x 4 Smooth Small Single,29.0
3626apr0001,14,Minifig Head Standard Grin Print [Solid Stud],13.0
3676,15,Slope Inverted 45° 2 x 2 Double Convex,3.0
3679,7,Turntable 2 x 2 Plate - Top,18.0
3680,15,"Turntable 2 x 2 Plate, Base",18.0
4161,15,Slope 33° 3 x 3,3.0
4282,15,Plate 2 x 16,14.0
4625,15,Hinge Tile 1 x 4,18.0
4715,15,Minifig Stretcher Wheels,27.0
4854,15,Slope Inverted 45° 4 x 4 Double,3.0
4855,15,Wedge 4 x 4 Triple Inverted [2 Connections between Front Studs],6.0
4857,15,Slope 45° 4 x 4 Double with Hinge,18.0
4858,15,Wedge 4 x 4 Taper,6.0
4859,4,Wedge Plate 3 x 4 without Stud Notches,49.0
4861,15,Slope 45° 3 x 4 Double / 33,3.0
4862,41,Glass for Window 1 x 2 x 2 Plane,16.0
4863,15,Window 1 x 4 x 2 Plane,16.0
4864a,15,Panel 1 x 2 x 2 [Solid Studs],23.0
4864ap02,15,Panel 1 x 2 x 2 with Red Cross Print,23.0
4870,7,Plate Special 2 x 2 Thin with Dual Wheels Holder [Split Pins],36.0
73983,4,Hinge Plate 1 x 4 Swivel Top / Base [Complete Assembly],18.0
973c07,1,Torso Plain / Blue Arms / Yellow Hands,13.0
973p24c01,15,Torso Hospital Red Cross Shirt Print / White Arms / Yellow Hands,13.0
973px189c01,0,"Torso Airplane Pilot, Suit Double Breasted, Tie, Gold Buttons and Logo Pin Print / Black Arms / Yellow Hands",13.0
28555,41,LIGHTENING BOLT CO-INJ.,24.0
3626cpr2127,78,"MINI HEAD, NO. 2127",13.0
93563,272,Minifig Hair Mohawk,13.0
970c00pr1196,26,"MINI LOWER PART, NO. 1196",13.0
973pr3677c01,0,Torso Dual Side Female Outline Print - Top with Fishnet Inset and Silver Studded Collar and Belt with Buckle on Front - Outline and Belt on Back - Magenta Arms with Black Stripes - Black Hands,13.0
3003pe2,14,"Brick 2 x 2 with Eye with White Print on Two Sides, Offset",2.0
2780,0,Technic Pin with Friction Ridges Lengthwise and Center Slots,53.0
2825,4,Technic Beam 1 x 4 Thin with Stud Connector,51.0
32002,72,Technic Pin 3/4,53.0
32013,71,Technic Axle and Pin Connector Angled #1,12.0
32062,4,Technic Axle 2 Notched,46.0
32174,0,"Technic Axle Connector 2 x 3 with Ball Socket, Open Sides",12.0
32199,72,Hose Soft Axle 11,30.0
32476,0,Technic Figure Robot Arm,41.0
32524,0,Technic Beam 1 x 7 Thick,51.0
44807,320,"Bionicle Head, Rahkshi",41.0
47300,72,Bionicle Ball Joint 3 x 3 x 2 90 Degree with 2 Ball Joints and Axle hole,41.0
50858,320,Bionicle Foot Visorak with 3 Pin Holes,41.0
50898,0,"Technic, Axle and Pin Connector 2 x 7 with Two Ball Joint Sockets",12.0
54271,148,Bionicle Zamor Sphere Launcher,41.0
54821,182,Bionicle Zamor Sphere,41.0
56160,135,Bionicle Claw with 2 Pin Holes,41.0
59426,72,Technic Axle 5.5 With Stop [Rounded Short End],46.0
59577pat0001,320,Bionicle Hydruka Back Plate with Marbled Black Pattern,41.0
6587,72,Technic Axle 3 with Stud,46.0
6632,0,Technic Beam 1 x 3 Thin,51.0
2456,2,Brick 2 x 6,11.0
2542,70,Minifig Oar / Paddle,27.0
30044,15,Window 1 x 2 x 2 2/3 with Rounded Top,16.0
30046,297,Window 1 x 2 x 2 2/3 Pane Lattice Diamond with Rounded Top,16.0
3004pr0001,14,"Brick 1 x 2 with Eyes, Freckles and Smile Print",2.0
3004pr0002,14,Brick 1 x 2 with Eyes and Red Smile Print,2.0
3005pr0003,15,Brick 1 x 1 with Simple Black Eye with White Pupil Print,2.0
30115,4,Snake,28.0
30136,70,Brick Special 1 x 2 Palisade [aka Log],5.0
30137,70,Brick Special 1 x 4 Palisade [aka Log],5.0
30150,70,Container - Crate with Handholds,7.0
30153,36,Rock 1 x 1 Jewel 24 Facet,33.0
30238,0,Spider,28.0
3029,1,Plate 4 x 12,14.0
3031,14,Plate 4 x 4,14.0
3033,72,Plate 6 x 10,14.0
30367b,4,Brick Round 2 x 2 Dome Top - Blocked Open Stud with Bottom Axle Holder x Shape + Orientation,20.0
30385,36,Rock 1 x 1 Crystal 5 Point,33.0
30414,4,Brick Special 1 x 4 with 4 Studs on One Side,5.0
3045,14,Slope 45° 2 x 2 Double Convex,3.0
3048c,297,Slope 45° 2 x 1 Triple with Ovoid Bottom Pin,3.0
33006,320,Minifig Teapot (Belville / Scala),42.0
33048c01,484,Turkey [Complete Assembly],27.0
3308,15,Brick Arch 1 x 8 x 2,37.0
33183,10,Carrot Top,28.0
3622,4,Brick 1 x 3,11.0
3623,19,Plate 1 x 3,14.0
3659,15,Brick Arch 1 x 4,37.0
3741,2,Flower Stem,28.0
3742,5,Flower - Small,28.0
3747b,14,Slope Inverted 33° 3 x 2 [Connections between Studs],3.0
3837,72,Minifig Shovel [Round Stem End],27.0
3839b,15,Plate Special 1 x 2 with Handles [Flat Ends / Low Attachment],9.0
3847,135,Minifig Sword [Shortsword],27.0
3899,14,Minifig Cup,27.0
3942c,0,Cone 2 x 2 x 2 [Completely Open Stud],20.0
3958,15,Plate 6 x 6,14.0
4070,4,Brick Special 1 x 1 with Headlight and No Slot,5.0
4150,0,Tile Round 2 x 2 with Bottom Cross,19.0
4332,0,Minifig Broom,27.0
4341,0,Minifig Pot Cauldron 3 x 3 x 1 & 3/4 with Handles,27.0
43713,15,Wedge 6 x 4 Inverted Curved,6.0
44567a,14,"Hinge Plate 1 x 2 Locking with 1 Finger on Side, with Groove",18.0
4532,4,Cupboard 2 x 3 x 2 with Solid Studs,7.0
